date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:06:00 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,Chicago,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:09:00 AM,DAN + SHAY,Glad You Exist,2021,R,c-,duo,men,multiethnic,Chicago,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:11:00 AM,ELI YOUNG BAND,Crazy Girl,2011,G,c-,group,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:14:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:17:00 AM,"BARNES, NATE",You Ain't Pretty,2020,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:20:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:24:00 AM,"RHETT, THOMAS",Look What God Gave Her,2019,G,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:27:00 AM,"BRYAN, LUKE",Crash My Party,2013,G,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:30:00 AM,"EVANS, MORGAN",Love Is Real,2021,C,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:33:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:36:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:40:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:43:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:51:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:54:00 AM,"RAY, FRANK",Country'd Look Good On You,2021,R,c-,solo,men,hispanic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,4:57:00 AM,"JANSON, CHRIS",Good Vibes,2019,G,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:00:00 AM,OLD DOMINION,I Was On A Boat That Day,2021,R,c-,group,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:03:00 AM,"BROWN, KANE/ALAINA, LAUREN",What Ifs,2016,G,c-,collab,male-female,multiethnic,Chicago,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:06:00 AM,DAN + SHAY,Steal My Love,2021,R,c-,duo,men,multiethnic,Chicago,false,X,X,X,X,B2BPOC,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:14:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:18:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:21:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:24:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:27:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:31:00 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:34:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:36:00 AM,"UNDERWOOD, CARRIE",All-American Girl,2007,G,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:40:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Chicago,false,B2Bwomen,B2BCombWomen,B2BCollabWomen,X,B2Bwhite,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:47:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:52:00 AM,"DICKERSON, RUSSELL",Yours,2015,G,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:56:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,5:59:00 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",AMD,Audacy/Entercom,WUSN-FM,6:02:00 AM,"MOON, NIKO",Good Time,2019,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Audacy/Entercom,WUSN-FM,6:06:00 AM,ZAC BROWN BAND,Toes,2008,G,c-,group,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Audacy/Entercom,WUSN-FM,6:17:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
