date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_raceGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:16:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:20:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:22:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,Charlotte,false,B2Bmixed,B2BCombWomen,B2BCollabWomen,B2BStraight,B2BwhiteMixed
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:25:00 AM,"CHESNEY, KENNY",Save It For A Rainy Day,2014,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:28:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:31:00 AM,"YOUNG, BRETT",Here Tonight,2018,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:35:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:44:00 AM,"LANE, CHRIS",Fill Them Boots,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:46:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:50:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:52:00 AM,"LAMBERT, MIRANDA",The House That Built Me,2009,G,c-,solo,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,3:56:00 AM,"ALLAN, GARY",Nothing On But The Radio,2003,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:00:00 AM,"SCOTT, DYLAN",My Girl,2016,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:03:00 AM,"RHETT, THOMAS",Country Again,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:06:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:10:00 AM,"MCGRAW, TIM",Something Like That,1999,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:13:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:21:00 AM,"EVANS, MORGAN",Love Is Real,2021,C,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,4:24:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
